price,bedrooms,bathrooms,floors,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,date_m,m2_living,m2_lot,m2_above,m2_basement,m2_living15,m2_lot15
221900.0,3,1.0,1.0,0.0,3,7,1955,0.0,98178,47.5112,-122.257,10,109.62558720000001,524.902176,109.62558720000001,0.0,124.4900736,524.902176
538000.0,3,2.25,2.0,0.0,3,7,1951,1991.0,98125,47.721000000000004,-122.319,12,238.76081280000002,672.8038156800001,201.5995968,37.161216,157.00613760000002,709.68632256
180000.0,2,1.0,1.0,0.0,3,6,1933,,98028,47.7379,-122.23299999999999,2,71.5353408,929.0304000000001,71.5353408,0.0,252.6962688,748.9843084800001
604000.0,4,3.0,1.0,0.0,5,7,1965,0.0,98136,47.5208,-122.39299999999999,12,182.0899584,464.51520000000005,97.548192,84.5417664,126.3481344,464.51520000000005
510000.0,3,2.0,1.0,0.0,3,8,1987,0.0,98074,47.6168,-122.045,2,156.0771072,750.6565632,156.0771072,0.0,167.22547200000002,697.05150912
1230000.0,4,4.5,1.0,0.0,3,11,2001,0.0,98053,47.6561,-122.005,5,503.53447680000005,9469.6068672,361.39282560000004,142.1416512,442.2184704,9469.6068672
229500.0,3,1.0,1.0,0.0,3,7,1960,0.0,98146,47.5123,-122.337,4,165.36741120000002,693.9857088,97.548192,67.8192192,165.36741120000002,753.72236352
323000.0,3,2.5,2.0,0.0,3,7,2003,0.0,98038,47.3684,-122.031,3,175.5867456,609.4439424000001,175.5867456,0.0,222.03826560000002,703.2760128000001
662500.0,3,2.5,1.0,0.0,3,8,1965,0.0,98007,47.6007,-122.145,4,330.73482240000004,910.0781798400001,172.7996544,157.935168,205.3157184,829.1596320000001
468000.0,2,1.0,1.0,0.0,4,7,1942,0.0,98115,47.69,-122.292,5,107.76752640000001,557.4182400000001,79.8966144,27.870912,123.56104320000001,557.4182400000001
310000.0,3,1.0,1.5,0.0,4,7,1927,,98028,47.7558,-122.229,5,132.85134720000002,1848.86339904,132.85134720000002,0.0,165.36741120000002,1179.5898988800002
400000.0,3,1.75,1.0,0.0,4,7,1977,0.0,98074,47.6127,-122.045,10,127.27716480000001,899.3014272,127.27716480000001,0.0,127.27716480000001,948.35423232
530000.0,5,2.0,1.5,0.0,3,7,1900,0.0,98107,47.67,-122.39399999999999,3,168.1545024,450.579744,168.1545024,0.0,126.3481344,450.579744
650000.0,4,3.0,2.0,3.0,3,9,1979,0.0,98126,47.5714,-122.375,1,274.06396800000005,464.51520000000005,183.9480192,90.11594880000001,198.8125056,371.61216
395000.0,3,2.0,2.0,0.0,3,7,1994,0.0,98019,47.7277,-121.962,7,175.5867456,1304.3586816000002,175.5867456,0.0,175.5867456,1302.3148147200002
485000.0,4,1.0,1.5,0.0,4,7,1916,0.0,98103,47.6648,-122.34299999999999,5,148.644864,399.48307200000005,148.644864,0.0,149.5738944,399.48307200000005
230000.0,3,1.0,1.0,0.0,4,7,1969,0.0,98003,47.3343,-122.306,4,116.12880000000001,908.0343129600001,116.12880000000001,0.0,118.9158912,822.191904
385000.0,4,1.75,1.0,0.0,4,7,1947,0.0,98133,47.7025,-122.34100000000001,5,150.50292480000002,462.6571392,79.8966144,70.6063104,130.064256,462.6571392
2000000.0,3,2.75,1.0,4.0,3,9,1968,0.0,98040,47.5316,-122.23299999999999,8,283.35427200000004,4168.2806956800005,216.4640832,66.8901888,381.83149440000005,1889.2762214400002
285000.0,5,2.5,2.0,0.0,3,8,1995,0.0,98092,47.3266,-122.169,7,210.88990080000002,585.2891520000001,210.88990080000002,0.0,208.1028096,650.7857952
252700.0,2,1.5,1.0,0.0,3,7,1985,,98030,47.3533,-122.166,5,99.4062528,895.8640147200001,99.4062528,0.0,113.3417088,779.0848934400001
329000.0,3,2.25,2.0,0.0,4,8,1985,0.0,98030,47.3739,-122.17200000000001,11,227.61244800000003,603.86976,227.61244800000003,0.0,204.38668800000002,637.7793696
233000.0,3,2.0,1.5,0.0,5,6,1941,0.0,98002,47.3048,-122.21799999999999,11,158.86419840000002,436.36557888000004,158.86419840000002,0.0,95.69013120000001,437.1088032
937000.0,3,1.75,2.0,0.0,3,8,1915,,98119,47.6386,-122.36,6,227.61244800000003,250.00208064,162.58032,65.032128,163.50935040000002,331.94256192
667000.0,3,1.0,1.5,0.0,5,8,1909,0.0,98112,47.6221,-122.314,12,130.064256,146.87970624000002,130.064256,0.0,172.7996544,358.69863744
438000.0,3,1.75,1.0,0.0,3,7,1948,,98115,47.695,-122.304,6,141.2126208,592.7213952000001,73.3934016,67.8192192,141.2126208,579.2504544000001
719000.0,4,2.5,2.0,0.0,3,8,2005,0.0,98052,47.7073,-122.11,3,238.76081280000002,666.39350592,238.76081280000002,0.0,244.3349952,559.83371904
580500.0,3,2.5,2.0,0.0,3,8,2003,0.0,98027,47.5391,-122.07,11,215.53505280000002,369.75409920000004,215.53505280000002,0.0,239.6898432,369.75409920000004
280000.0,2,1.5,3.0,0.0,3,7,2005,0.0,98133,47.7274,-122.35700000000001,12,110.5546176,117.52234560000001,110.5546176,0.0,129.1352256,163.13773824
687500.0,4,1.75,1.5,0.0,4,7,1929,0.0,98117,47.6823,-122.368,6,216.4640832,464.51520000000005,140.2835904,76.18049280000001,135.6384384,464.51520000000005
535000.0,3,1.0,1.5,0.0,4,8,1929,0.0,98117,47.6889,-122.375,11,101.26431360000001,278.70912000000004,101.26431360000001,0.0,145.85777280000002,471.9474432
322500.0,4,2.75,1.0,0.0,3,7,1981,0.0,98058,47.4276,-122.15700000000001,12,191.38026240000002,618.6413433600001,118.9158912,72.4643712,187.6641408,810.1145088000001
696000.0,3,2.5,1.5,0.0,3,8,1930,2002.0,98115,47.6827,-122.31,6,213.676992,284.2833024,140.2835904,73.3934016,147.7158336,303.23552256
550000.0,4,1.0,1.0,0.0,1,5,1933,0.0,98052,47.6621,-122.132,5,154.2190464,3237.4851379200004,86.3998272,67.8192192,200.6705664,1065.31915968
